GCF_016907545.1	Paenarthrobacter ilicis
GCF_021919345.1	Paenarthrobacter nicotinovorans
GCF_051027655.1	Paenarthrobacter nitroguajacolicus
GCF_017357445.1	Paenarthrobacter ureafaciens
GCF_014640295.1	Paenibacillus abyssi
GCF_017874035.1	Paenibacillus aceris
GCF_003614185.1	Paenibacillus aceti
GCF_027789125.1	Paenibacillus aestuarii
GCF_018604145.1	Paenibacillus agaridevorans
GCF_007786455.1	Paenibacillus agilis
GCF_013359945.1	Paenibacillus agri
GCF_011440305.1	Paenibacillus agricola
GCF_013204855.1	Paenibacillus alba
GCF_012676905.1	Paenibacillus albicereus
GCF_014644435.1	Paenibacillus albidus
GCF_004344915.1	Paenibacillus albiflavus
GCF_018333255.1	Paenibacillus albilobatus
GCF_003952225.1	Paenibacillus albus
GCF_005577435.1	Paenibacillus algicola
GCF_004000725.1	Paenibacillus alginolyticus DSM 5050 = NBRC 15375
GCF_900112925.1	Paenibacillus algorifonticola
GCF_021532375.1	Paenibacillus alkaliterrae
GCF_016482785.1	Paenibacillus alkalitolerans
GCF_927798215.1	Paenibacillus allorhizoplanae
GCF_042659105.1	Paenibacillus allorhizosphaerae
GCF_025547055.2	Paenibacillus alvei
GCF_036894225.1	Paenibacillus amylolyticus
GCF_003994475.1	Paenibacillus anaericanus
GCF_025369935.1	Paenibacillus andongensis
GCF_009757995.1	Paenibacillus anseongensis
GCF_008369725.1	Paenibacillus antarcticus
GCF_000455265.1	Paenibacillus antibioticophila
GCF_005765165.1	Paenibacillus antri
GCF_017052585.1	Paenibacillus apiarius
GCF_011043685.1	Paenibacillus apii
GCF_900177815.1	Paenibacillus aquistagni
GCF_014705655.1	Paenibacillus arenilitoris
GCF_014841135.1	Paenibacillus arenosi
GCF_017652985.1	Paenibacillus artemisiicola
GCF_000422445.1	Paenibacillus assamensis DSM 18201
GCF_004514475.2	Paenibacillus athensensis
GCF_927798115.1	Paenibacillus auburnensis
GCF_042431225.1	Paenibacillus aurantiacus
GCF_032268605.1	Paenibacillus aurantius
GCF_021654775.1	Paenibacillus azoreducens
GCF_003945345.1	Paenibacillus baekrokdamisoli
GCF_025567575.1	Paenibacillus baimaensis
GCF_013347305.1	Paenibacillus barcinonensis
GCF_000403375.2	Paenibacillus barengoltzii G22
GCF_000961095.1	Paenibacillus beijingensis
GCF_000758665.1	Paenibacillus borealis
GCF_900155685.1	Paenibacillus bouchesdurhonensis
GCF_001421015.2	Paenibacillus bovis
GCF_009363115.1	Paenibacillus brasilensis
GCF_018919145.1	Paenibacillus brevis
GCF_023715345.1	Paenibacillus camelliae
GCF_000723885.1	Paenibacillus camerounensis
GCF_034659835.1	Paenibacillus campi
GCF_002272015.1	Paenibacillus campinasensis
GCF_047238265.1	Paenibacillus canaveralius
GCF_027533645.1	Paenibacillus caseinilyticus
GCF_002884445.1	Paenibacillus castaneae
GCF_900112695.1	Paenibacillus catalpae
GCF_019904135.1	Paenibacillus caui
GCF_013347265.1	Paenibacillus cellulosilyticus
GCF_009363095.1	Paenibacillus cellulositrophicus
GCF_042432825.1	Paenibacillus chartarius
GCF_004001045.1	Paenibacillus chibensis
GCF_004117095.1	Paenibacillus chitinolyticus
GCF_004000765.1	Paenibacillus chondroitinus NBRC 15376
GCF_042675905.1	Paenibacillus chungangensis
GCF_018333335.1	Paenibacillus cineris
GCF_050481165.1	Paenibacillus cisolokensis
GCF_003285015.1	Paenibacillus contaminans
GCF_018333375.1	Paenibacillus cookii
GCF_001857945.1	Paenibacillus crassostreae
GCF_007786445.1	Paenibacillus cremeus
GCF_000179615.1	Paenibacillus curdlanolyticus YK9
GCF_004764705.1	Paenibacillus cymbidii
GCF_000378385.1	Paenibacillus daejeonensis DSM 15491
GCF_001373415.1	Paenibacillus dakarensis
GCF_000598065.1	Paenibacillus darwinianus
GCF_000971985.1	Paenibacillus dauci
GCF_021654795.1	Paenibacillus dendritiformis
GCF_009807035.1	Paenibacillus dendrobii
GCF_004916975.1	Paenibacillus dokdonensis
GCF_002192415.1	Paenibacillus donghaensis
GCF_025060755.1	Paenibacillus doosanensis
GCF_000756615.1	Paenibacillus durus
GCF_004000785.1	Paenibacillus ehimensis NBRC 15659
GCF_029625475.1	Paenibacillus elgii
GCF_014192395.1	Paenibacillus endophyticus
GCF_024721975.1	Paenibacillus endoradicis
GCF_042136365.1	Paenibacillus enshidis
GCF_001012825.1	Paenibacillus etheri
GCF_017874215.1	Paenibacillus eucommiae
GCF_900289175.1	Paenibacillus faecalis
GCF_008084145.1	Paenibacillus faecis
GCF_020736845.1	Paenibacillus farraposensis
GCF_010993935.1	Paenibacillus favisporus
GCF_002027705.1	Paenibacillus ferrarius
GCF_038070315.1	Paenibacillus filicis
GCF_003217775.1	Paenibacillus flagellatus
GCF_013141765.1	Paenibacillus foliorum
GCF_000381905.1	Paenibacillus fonticola DSM 21315
GCF_031954385.1	Paenibacillus forsythiae
GCF_014836635.1	Paenibacillus gallinarum
GCF_042684925.1	Paenibacillus gansuensis
GCF_013141785.1	Paenibacillus germinis
GCF_003626695.1	Paenibacillus ginsengarvi
GCF_000380965.1	Paenibacillus ginsengihumi DSM 21568
GCF_001637205.1	Paenibacillus glacialis
GCF_037333485.1	Paenibacillus glucanolyticus
GCF_031470375.1	Paenibacillus glufosinatiresistens
GCF_051200795.1	Paenibacillus glycanilyticus
GCF_009909185.1	Paenibacillus glycinis
GCF_000513275.1	Paenibacillus gorillae
GCF_000758705.1	Paenibacillus graminis
GCF_009363075.1	Paenibacillus guangzhouensis
GCF_027533625.1	Paenibacillus gyeongsangnamensis
GCF_036553665.1	Paenibacillus haidiansis
GCF_023276405.1	Paenibacillus hamazuiensis
GCF_000422465.1	Paenibacillus harenae DSM 16969
GCF_001909055.1	Paenibacillus helianthi
GCF_006265175.1	Paenibacillus hemerocallicola
GCF_002233675.1	Paenibacillus herberti
GCF_021513275.1	Paenibacillus hexagrammi
GCF_039536325.1	Paenibacillus hodogayensis
GCF_032334105.1	Paenibacillus hubeiensis
GCF_028826105.1	Paenibacillus humicola
GCF_004000905.1	Paenibacillus humicus NBRC 102415
GCF_034055775.1	Paenibacillus hunanensis
GCF_002741055.1	Paenibacillus ihbetae
GCF_001368795.1	Paenibacillus ihuae
GCF_001403875.1	Paenibacillus ihumii
GCF_004000925.1	Paenibacillus illinoisensis NBRC 15959
GCF_001477135.1	Paenibacillus jamilae
GCF_047238105.1	Paenibacillus jepli
GCF_046098255.1	Paenibacillus jiagnxiensis
GCF_010450915.1	Paenibacillus jilunlii
GCF_040719145.1	Paenibacillus kandeliae
GCF_004000825.1	Paenibacillus kobensis NBRC 15729
GCF_004000845.1	Paenibacillus koleovorans NBRC 103111
GCF_002240415.1	Paenibacillus kribbensis
GCF_028606985.1	Paenibacillus kyungheensis
GCF_030580655.1	Paenibacillus lacisoli
GCF_050816245.1	Paenibacillus lactis
GCF_002951935.1	Paenibacillus larvae subsp. larvae
GCF_004000945.1	Paenibacillus lautus NBRC 15380
GCF_012933385.1	Paenibacillus lemnae
GCF_003931855.1	Paenibacillus lentus
GCF_017942085.1	Paenibacillus lignilyticus
GCF_011761355.1	Paenibacillus lupini
GCF_006542765.1	Paenibacillus luteus
GCF_003991425.1	Paenibacillus lutimineralis
GCF_009757775.1	Paenibacillus lutrae
GCF_010119935.1	Paenibacillus lycopersici
GCF_900454495.1	Paenibacillus macerans
GCF_900156375.1	Paenibacillus macquariensis
GCF_022898935.1	Paenibacillus mangrovi
GCF_028771845.1	Paenibacillus marchantiae
GCF_014640555.1	Paenibacillus marchantiophytorum
GCF_054343325.1	Paenibacillus marinisediminis
GCF_000377505.1	Paenibacillus massiliensis 2301065 = DSM 16942
GCF_000520815.1	Paenibacillus maysiensis
GCF_042138635.1	Paenibacillus medicaginis
GCF_944800085.1	Paenibacillus melissococcoides
GCF_023195895.1	Paenibacillus mellifer
GCF_024498075.1	Paenibacillus mendelii
GCF_005938385.1	Paenibacillus mesophilus
GCF_046098205.1	Paenibacillus mesotrionivorans
GCF_008124765.1	Paenibacillus methanolicus
GCF_003268025.1	Paenibacillus montanisoli
GCF_018403185.1	Paenibacillus montaniterrae
GCF_009664975.1	Paenibacillus monticola
GCF_039521865.1	Paenibacillus motobuensis
GCF_000258535.2	Paenibacillus mucilaginosus K02
GCF_046543445.1	Paenibacillus nanchangensis
GCF_003583765.1	Paenibacillus nanensis
GCF_001465255.1	Paenibacillus naphthalenovorans
GCF_014641075.1	Paenibacillus nasutitermitis
GCF_042681745.1	Paenibacillus nicotianae
GCF_052056485.1	Paenibacillus nitricinens
GCF_963311185.1	Paenibacillus nuruki
GCF_014705615.1	Paenibacillus oceani
GCF_000758725.1	Paenibacillus odorifer
GCF_019443105.1	Paenibacillus oenotherae
GCF_018998565.1	Paenibacillus oleatilyticus
GCF_003863965.1	Paenibacillus oralis
GCF_001675045.1	Paenibacillus oryzae
GCF_001653565.1	Paenibacillus oryzisoli
GCF_050516475.1	Paenibacillus ottowii
GCF_001514495.1	Paenibacillus pabuli NBRC 13638
GCF_003388735.1	Paenibacillus paeoniae
GCF_006345825.1	Paenibacillus paridis
GCF_002864175.1	Paenibacillus pasadenensis
GCF_001700435.1	Paenibacillus pectinilyticus
GCF_031599675.1	Paenibacillus pedocola
GCF_000236805.1	Paenibacillus peoriae KCTC 3763
GCF_022458865.1	Paenibacillus periandrae
GCF_900021165.1	Paenibacillus phocaensis
GCF_034718895.1	Paenibacillus phoenicis
GCF_014192105.1	Paenibacillus phyllosphaerae
GCF_002240225.1	Paenibacillus physcomitrellae
GCF_013141775.1	Paenibacillus phytohabitans
GCF_013141715.1	Paenibacillus phytorum
GCF_000576305.1	Paenibacillus pini JCM 16418
GCF_000422505.1	Paenibacillus pinihumi DSM 23905 = JCM 16419
GCF_003605435.1	Paenibacillus pinisoli
GCF_005869875.1	Paenibacillus pinistramenti
GCF_004354045.1	Paenibacillus piri
GCF_022234545.1	Paenibacillus piscarius
GCF_013141695.1	Paenibacillus plantarum
GCF_013141725.1	Paenibacillus planticolens
GCF_927798095.1	Paenibacillus plantiphilus
GCF_030263935.1	Paenibacillus polygoni
GCF_022811565.1	Paenibacillus polymyxa ATCC 842
GCF_900102085.1	Paenibacillus polysaccharolyticus
GCF_000315235.1	Paenibacillus popilliae ATCC 14706
GCF_021369635.1	Paenibacillus profundus
GCF_003337375.1	Paenibacillus prosopidis
GCF_004135365.1	Paenibacillus protaetiae
GCF_042678545.1	Paenibacillus provencensis
GCF_924513355.1	Paenibacillus pseudetheri
GCF_009728935.1	Paenibacillus psychroresistens
GCF_009846885.1	Paenibacillus puerhi
GCF_042678945.1	Paenibacillus puldeungensis
GCF_028746185.1	Paenibacillus qinlingensis
GCF_024721995.1	Paenibacillus radicibacter
GCF_042677205.1	Paenibacillus residui
GCF_014947195.2	Paenibacillus rhizolycopersici
GCF_003854965.1	Paenibacillus rhizophilus
GCF_042684125.1	Paenibacillus rhizoplanae
GCF_014192015.1	Paenibacillus rhizosphaerae
GCF_010365285.1	Paenibacillus rhizovicinus
GCF_002234615.1	Paenibacillus rigui
GCF_000981585.1	Paenibacillus riograndensis SBR5
GCF_032271945.1	Paenibacillus roseipurpureus
GCF_016424485.1	Paenibacillus roseus
GCF_001486505.1	Paenibacillus rubinfantis
GCF_000612505.1	Paenibacillus sabinae T27
GCF_014705605.1	Paenibacillus sabuli
GCF_016908255.1	Paenibacillus sacheonensis
GCF_003233845.1	Paenibacillus sambharensis
GCF_036864765.1	Paenibacillus sanfengchensis
GCF_000374825.1	Paenibacillus sanguinis 2301083 = DSM 16941
GCF_014534655.1	Paenibacillus sedimenti
GCF_017873765.1	Paenibacillus sediminis
GCF_014639155.1	Paenibacillus segetis
GCF_002021565.1	Paenibacillus selenitireducens
GCF_000285515.1	Paenibacillus senegalensis JC66
GCF_001486585.1	Paenibacillus senegalimassiliensis
GCF_042659865.1	Paenibacillus septentrionalis
GCF_042647105.1	Paenibacillus sepulcri
GCF_000346635.1	Paenibacillus shenyangensis
GCF_017874255.1	Paenibacillus shirakamiensis
GCF_042684905.1	Paenibacillus shunpengii
GCF_017874735.1	Paenibacillus silagei
GCF_014639235.1	Paenibacillus silvae
GCF_009882985.1	Paenibacillus silvestris
GCF_030866765.1	Paenibacillus silvisoli
GCF_030167925.1	Paenibacillus silviterrae
GCF_019904155.1	Paenibacillus sinensis
GCF_005930355.1	Paenibacillus sinopodophylli
GCF_910593845.1	Paenibacillus solanacearum
GCF_001277345.1	Paenibacillus solani
GCF_042656405.1	Paenibacillus solisilvae
GCF_021312615.1	Paenibacillus sonchi
GCF_018966525.1	Paenibacillus sophorae
GCF_024623455.1	Paenibacillus soyae
GCF_024734895.1	Paenibacillus spongiae
GCF_000758685.1	Paenibacillus stellifer
GCF_032337355.1	Paenibacillus suaedae
GCF_001644605.1	Paenibacillus swuensis
GCF_050994985.1	Paenibacillus taichungensis
GCF_003386535.1	Paenibacillus taihuensis
GCF_000425125.1	Paenibacillus taiwanensis DSM 18679
GCF_021532315.1	Paenibacillus tarimensis
GCF_008973665.1	Paenibacillus tengchongensis
GCF_008635795.1	Paenibacillus tepidiphilus
GCF_000235585.1	Paenibacillus terrae HPL-003
GCF_042138595.1	Paenibacillus terreus
GCF_014779765.1	Paenibacillus terricola
GCF_000374845.1	Paenibacillus terrigena DSM 21567
GCF_042685365.1	Paenibacillus thailandensis
GCF_004307995.1	Paenibacillus thalictri
GCF_005938195.1	Paenibacillus thermoaerophilus
GCF_028745515.1	Paenibacillus thermotolerans
GCF_007066085.1	Paenibacillus thiaminolyticus
GCF_017086365.1	Paenibacillus tianjinensis
GCF_900100345.1	Paenibacillus tianmuensis
GCF_022427145.1	Paenibacillus timonensis
GCF_018207515.1	Paenibacillus tritici
GCF_900086655.1	Paenibacillus tuaregi
GCF_036884255.1	Paenibacillus tundrae
GCF_017873435.1	Paenibacillus turicensis
GCF_011421635.1	Paenibacillus turpanensis
GCF_900099765.1	Paenibacillus typhae
GCF_000722545.1	Paenibacillus tyrphae
GCF_900177425.1	Paenibacillus uliginis N3/975
GCF_028747985.1	Paenibacillus urinalis
GCF_004000985.1	Paenibacillus validus NBRC 15382
GCF_030433635.1	Paenibacillus vandeheii
GCF_020169515.1	Paenibacillus vietnamensis
GCF_018403325.1	Paenibacillus vini
GCF_032461945.1	Paenibacillus violae
GCF_039543185.1	Paenibacillus vulneris
GCF_039822605.1	Paenibacillus wenxiniae
GCF_003955665.1	Paenibacillus whitsoniae
GCF_030122845.1	Paenibacillus woosongensis
GCF_000971965.1	Paenibacillus wulumuqiensis
GCF_040195695.1	Paenibacillus wuxiensis
GCF_000757885.1	Paenibacillus wynnii
GCF_042682185.1	Paenibacillus xanthanilyticus
GCF_002220865.2	Paenibacillus xerothermodurans
GCF_001908275.1	Paenibacillus xylanexedens
GCF_004001065.1	Paenibacillus xylaniclasticus
GCF_013359935.1	Paenibacillus xylanilyticus
GCF_001280595.1	Paenibacillus xylanivorans
GCF_042684845.1	Paenibacillus yanchengensis
GCF_001685395.1	Paenibacillus yonginensis
GCF_000520715.1	Paenibacillus zanthoxyli JH29
GCF_030705605.1	Paenibacillus zeirhizosphaerae
GCF_003994465.1	Paenibacillus zeisoli
GCF_014306135.1	Paeniclostridium hominis
GCF_039544305.1	Paeniglutamicibacter antarcticus
GCF_014190875.1	Paeniglutamicibacter cryotolerans
GCF_000348945.1	Paeniglutamicibacter gangotriensis Lz1y
GCF_017876535.1	Paeniglutamicibacter kerguelensis
GCF_017876575.1	Paeniglutamicibacter psychrophenolicus
GCF_019084045.1	Paeniglutamicibacter quisquiliarum
GCF_039535115.1	Paeniglutamicibacter sulfureus
GCF_012271785.1	Paeniglutamicibacter terrestris
GCF_026871175.1	Paenilisteria newyorkensis
GCF_014322795.1	Paenilisteria portnoyi
GCF_000525995.1	Paenilisteria riparia FSL S10-1204
GCF_013820765.1	Paenilisteria rustica
GCF_003534205.1	Paenilisteria weihenstephanensis
GCF_024628805.1	Paenimyroides aestuarii
GCF_008629655.1	Paenimyroides baculatum
GCF_030409925.1	Paenimyroides ceti
GCF_900108395.1	Paenimyroides marinum
GCF_003865405.1	Paenimyroides tangerinum
GCF_900115115.1	Paenimyroides ummariense
GCF_003858535.1	Paenimyroides viscosum
GCF_010450895.1	Paenirhizobium daejeonense
GCF_007992095.1	Paenirhizobium naphthalenivorans
GCF_000518785.1	Paenirhizobium selenitireducens ATCC BAA-1503
GCF_000740785.1	Paenirhodobacter enshiensis
GCF_004022265.1	Paenirhodobacter ferrireducens
GCF_003664585.1	Paenirhodobacter hankyongi
GCF_004022465.1	Paenirhodobacter huangdaonensis
GCF_042643625.1	Paenirhodobacter populi
GCF_030409335.1	Paeniroseomonas aquatica
GCF_004367585.1	Paenisporosarcina antarctica
GCF_003595195.1	Paenisporosarcina cavernae
GCF_001939075.1	Paenisporosarcina indica
GCF_042658845.1	Paenisporosarcina macmurdoensis
GCF_027563315.1	Paenisporosarcina quisquiliarum
GCF_014205685.1	Paenochrobactrum gallinarii
GCF_039522165.1	Paenochrobactrum glaciei
GCF_041929845.1	Paenochrobactrum pullorum
GCF_001931505.1	Pajaroellobacter abortibovis
GCF_013166595.1	Palleniella intestinalis
GCF_004792655.1	Palleniella muris
GCF_900302445.1	Palleronia abyssalis
GCF_003253995.1	Palleronia aestuarii
GCF_007004065.1	Palleronia caenipelagi
GCF_900113405.1	Palleronia marisminoris
GCF_900110115.1	Palleronia pelagia
GCF_016412875.1	Palleronia pontilimi
GCF_000743715.1	Palleronia rufa
GCF_900141995.1	Palleronia salina
GCF_004358695.1	Palleronia sediminis
GCF_009996845.1	Pallidibacillus pasinlerensis
GCF_025660415.1	Pallidibacillus thermolactis
GCF_037646705.1	Paludibacillus litoralis
