GCF_044891285.1	Bacillus lumedeiriae
GCF_009739945.1	Bacillus luti
GCF_000712595.1	Bacillus manliponensis
GCF_040500475.1	Bacillus maqinnsis
GCF_902168435.1	Bacillus marasmi
GCF_001644195.2	Bacillus marinisedimentorum
GCF_900098925.1	Bacillus massiliglaciei
GCF_000380245.2	Bacillus massiliigorillae
GCF_902374955.1	Bacillus massilioanorexius
GCF_900117315.1	Bacillus massilionigeriensis
GCF_900111815.1	Bacillus mediterraneensis
GCF_008923265.1	Bacillus mesophilum
GCF_016908955.1	Bacillus mesophilus
GCF_000262755.1	Bacillus methanolicus PB1
GCF_050445615.1	Bacillus mexicanus
GCF_001884045.1	Bacillus mobilis
GCF_012648005.1	Bacillus mojavensis
GCF_030756675.1	Bacillus multifaciens
GCF_018739485.1	Bacillus mycoides
GCF_001584325.1	Bacillus nakamurai
GCF_000612805.1	Bacillus ndiopicus
GCF_001375535.1	Bacillus niameyensis
GCF_036320425.1	Bacillus nitratireducens
GCF_014836955.1	Bacillus norwichensis
GCF_900207585.1	Bacillus oleivorans
GCF_020861345.1	Bacillus pacificus
GCF_002993925.1	Bacillus paralicheniformis
GCF_037907705.1	Bacillus paramobilis
GCF_001884235.1	Bacillus paramycoides
GCF_024296885.1	Bacillus paranthracis
GCF_050768835.1	Bacillus pfraonensis
GCF_023036475.1	Bacillus pinisoli
GCF_022458745.1	Bacillus piscicola
GCF_025916425.1	Bacillus pretiosus
GCF_001884065.1	Bacillus proteolyticus
GCF_000161455.1	Bacillus pseudomycoides DSM 12442
GCF_000017885.4	Bacillus pumilus SAFR-032
GCF_917563915.1	Bacillus rhizoplanae
GCF_902375395.1	Bacillus rubiinfantis
GCF_023238245.1	Bacillus rugosus
GCF_008244765.1	Bacillus safensis
GCF_003581585.1	Bacillus salacetis
GCF_004358205.1	Bacillus salipaludis
GCF_042680805.1	Bacillus salitolerans
GCF_018332475.1	Bacillus sanguinis
GCF_042684945.1	Bacillus seohaeanensis
GCF_046575425.1	Bacillus shihchuchen
GCF_020519665.1	Bacillus shivajii
GCF_000262045.1	Bacillus siamensis KCTC 13613
GCF_001050115.1	Bacillus smithii
GCF_001742425.1	Bacillus solimangrovi
GCF_002797395.1	Bacillus solitudinis
GCF_042649685.1	Bacillus songklensis
GCF_034055115.1	Bacillus sonorensis
GCF_000227465.1	Bacillus spizizenii TU-B-10
GCF_037120725.1	Bacillus spongiae
GCF_029772985.1	Bacillus stercoris
GCF_020524495.1	Bacillus stratosphericus
GCF_016890225.1	Bacillus suaedaesalsae
GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168
GCF_030908325.1	Bacillus swezeyi
GCF_003318295.1	Bacillus taeanensis
GCF_012225885.1	Bacillus tequilensis
GCF_001243895.1	Bacillus testis
GCF_000812025.2	Bacillus thermotolerans
GCF_000161615.1	Bacillus thuringiensis serovar berliner ATCC 10792
GCF_000285535.1	Bacillus timonensis
GCF_016605985.1	Bacillus toyonensis
GCF_031357045.1	Bacillus tropicus
GCF_900104575.1	Bacillus tuaregi
GCF_003667885.1	Bacillus vallismortis
GCF_000015785.2	Bacillus velezensis FZB42
GCF_001889165.1	Bacillus weihaiensis
GCF_008807735.1	Bacillus wiedmannii
GCF_001857925.1	Bacillus xiamenensis
GCF_002797355.1	Bacillus xiapuensis
GCF_003966255.1	Bacillus yapensis
GCF_037104695.1	Bacillus yunxiaonensis
GCF_031195075.1	Bacillus zhangzhouensis
GCF_014652515.1	Bacterioplanes sanyensis
GCF_042648445.1	Bacterioplanoides pacificum
GCF_035013165.1	Bacteriovorax antarcticus
GCF_002872415.1	Bacteriovorax stolpii
GCF_900128535.1	bacterium endosymbiont_of_Bathymodiolus sp. 5 South
GCF_002075085.1	bacterium endosymbiont_of_Pedicinus badii
GCF_024623065.1	Bacteroides acidifaciens
GCF_900155865.1	Bacteroides bouchesdurhonensis
GCF_018292205.1	Bacteroides caccae CL03T12C61
GCF_021531075.1	Bacteroides caecigallinarum
GCF_001688725.2	Bacteroides caecimuris
GCF_025567135.1	Bacteroides cellulolyticus
GCF_018292125.1	Bacteroides cellulosilyticus
GCF_015555825.1	Bacteroides clarus
GCF_900130125.1	Bacteroides congonensis
GCF_020741705.1	Bacteroides coprosuis
GCF_900241005.1	Bacteroides cutis
GCF_048319815.1	Bacteroides difficilis
GCF_025146565.1	Bacteroides eggerthii
GCF_003865075.1	Bacteroides faecalis
GCF_900129065.1	Bacteroides faecichinchillae
GCF_020091505.1	Bacteroides faecis
GCF_012113595.1	Bacteroides faecium
GCF_000156195.1	Bacteroides finegoldii DSM 17565
GCF_000195635.1	Bacteroides fluxus YIT 12057
GCF_000025985.1	Bacteroides fragilis NCTC 9343
GCF_030373775.1	Bacteroides gallinaceum
GCF_000374365.1	Bacteroides gallinarum DSM 18171 = JCM 13658
GCF_963666085.1	Bacteroides graminisolvens
GCF_000186225.1	Bacteroides helcogenes P 36-108
GCF_002998535.1	Bacteroides heparinolyticus
GCF_033042785.2	Bacteroides hominis
GCF_017309675.2	Bacteroides humanifaecis
GCF_900104585.1	Bacteroides ihuae
GCF_900128495.1	Bacteroides ilei
GCF_000172175.1	Bacteroides intestinalis DSM 17393
GCF_032144175.1	Bacteroides koreensis
GCF_007341395.1	Bacteroides kribbi
GCF_009193295.2	Bacteroides luhongzhouii
GCF_900128905.1	Bacteroides luti
GCF_036416795.1	Bacteroides maternus
GCF_900128455.1	Bacteroides mediterraneensis
GCF_900108345.1	Bacteroides ndongoniae
GCF_000499785.1	Bacteroides neonati
GCF_019930665.1	Bacteroides nordii
GCF_000315485.1	Bacteroides oleiciplenus YIT 12058
GCF_001314995.1	Bacteroides ovatus
GCF_014287575.1	Bacteroides parvus
GCF_000375405.1	Bacteroides propionicifaciens DSM 19291 = JCM 14649
GCF_018390535.1	Bacteroides propionicigenes
GCF_048595595.1	Bacteroides pyogenes
GCF_014196955.1	Bacteroides reticulotermitis
GCF_027942795.1	Bacteroides rhinocerotis
GCF_000614125.1	Bacteroides rodentium JCM 16496
GCF_031172035.1	Bacteroides salyersiae
GCF_040365225.1	Bacteroides sedimenti
GCF_900142015.1	Bacteroides stercorirosoris
GCF_000154525.1	Bacteroides stercoris ATCC 43183
GCF_014131755.1	Bacteroides thetaiotaomicron
GCF_000513195.1	Bacteroides timonensis
GCF_900130135.1	Bacteroides togonis
GCF_044361425.1	Bacteroides uniformis
GCF_034291875.1	Bacteroides vicugnae
GCF_018289135.1	Bacteroides xylanisolvens
GCF_009193325.2	Bacteroides zhangwenhongii
GCF_002998435.1	Bacteroides zoogleoformans
GCF_026184565.1	Bacteroidetes bacterium endosymbiont_of_Geopemphigus sp.
GCF_028416635.1	Baekduia alba
GCF_007970665.1	Baekduia soli
GCF_004341445.1	Baia soyae
GCF_009695865.1	Baileyella intestinalis
GCF_003594875.1	Bailinhaonella thermotolerans
GCF_900182585.1	Balnearium lithotrophicum
GCF_000619885.1	Balneatrix alpica DSM 16621
GCF_003096835.1	Balneicella halophila
GCF_000375465.1	Balneola vulgaris DSM 17893
GCF_031846245.1	Banduia mediterranea
GCF_900086725.1	Bariatricus massiliensis
GCF_000296465.1	Barnesiella intestinihominis YIT 11860
GCF_025567045.1	Barnesiella propionica
GCF_000512915.1	Barnesiella viscericola DSM 18177
GCF_030296655.1	Barrientosiimonas endolithica
GCF_006716095.1	Barrientosiimonas humi
GCF_039543025.1	Bartonella acomydis
GCF_013388295.1	Bartonella alsatica
GCF_001281405.1	Bartonella ancashensis
GCF_016102465.1	Bartonella apihabitans
GCF_001952075.1	Bartonella apis
GCF_000341355.1	Bartonella australis AUST/NH1
GCF_000015445.1	Bartonella bacilliformis KC583
GCF_023500045.1	Bartonella bilalgolemii
GCF_000278095.1	Bartonella birtlesii LL-WM9
GCF_000384965.1	Bartonella bovis 91-4
GCF_014203215.1	Bartonella callosciuri
GCF_902813205.1	Bartonella capreoli
GCF_016100835.1	Bartonella choladocola
GCF_014138465.1	Bartonella chomelii
GCF_000253015.1	Bartonella clarridgeiae 73
GCF_900445535.1	Bartonella doshiae
GCF_900638615.1	Bartonella elizabethae
GCF_000312525.1	Bartonella florencae
GCF_014197255.1	Bartonella fuyuanensis
GCF_903679515.1	Bartonella gabonensis
GCF_045277155.1	Bartonella gliris
GCF_000022725.1	Bartonella grahamii as4aup
GCF_024297065.1	Bartonella harrusi
GCF_046245125.1	Bartonella heixiaziensis
GCF_019930925.1	Bartonella henselae
