GCF_009797935.1	Lunatibacter salilacus
GCF_000390185.1	Lunatimonas lonarensis
GCF_017811155.1	Lunatimonas salinarum
GCF_014384745.1	Luoshenia tenuis
GCF_015207425.1	Lusitaniella coriacea LEGE 07157
GCF_023078475.1	Luteibacter aegosomaticola
GCF_023078455.1	Luteibacter aegosomatis
GCF_023078495.1	Luteibacter aegosomatissinici
GCF_023699965.1	Luteibacter anthropi
GCF_023612255.1	Luteibacter flocculans
GCF_011742555.1	Luteibacter jiangsuensis
GCF_000745235.1	Luteibacter mycovicinus
GCF_006385595.1	Luteibacter pinisoli
GCF_001887595.1	Luteibacter rhizovicinus DSM 16549
GCF_034063545.1	Luteibacter sahnii
GCF_011742875.1	Luteibacter yeojuensis
GCF_007995015.1	Luteibaculum oceani
GCF_030161555.1	Luteimicrobium album
GCF_002798015.1	Luteimicrobium subarcticum
GCF_009429125.1	Luteimicrobium xylanilyticum
GCF_001482195.1	Luteimonas abyssi
GCF_004357985.1	Luteimonas aestuarii
GCF_022662575.1	Luteimonas aquatica
GCF_004352825.1	Luteimonas arsenica
GCF_009828935.2	Luteimonas cellulosilyticus
GCF_002327105.1	Luteimonas chenhongjianii
GCF_014836665.1	Luteimonas colneyensis
GCF_042678665.1	Luteimonas composti
GCF_007830035.1	Luteimonas cucumeris
GCF_049339425.1	Luteimonas dalianensis
GCF_013425765.1	Luteimonas deserti
GCF_029887875.1	Luteimonas endophytica
GCF_036584485.1	Luteimonas flava
GCF_021233355.1	Luteimonas fraxinea
GCF_023374055.1	Luteimonas galliterrae
GCF_005239095.1	Luteimonas gilva
GCF_007795095.1	Luteimonas granuli
GCF_000559025.1	Luteimonas huabeiensis HB2
GCF_029887935.1	Luteimonas kalidii
GCF_039537065.1	Luteimonas lutimaris
GCF_007859325.1	Luteimonas marina
GCF_000422305.1	Luteimonas mephitis DSM 12574
GCF_042648885.1	Luteimonas notoginsengisoli
GCF_014652935.1	Luteimonas padinae
GCF_020511115.1	Luteimonas panaciterrae
GCF_029888045.1	Luteimonas rhizosphaericola
GCF_041300785.1	Luteimonas salinilitoris
GCF_013425525.1	Luteimonas salinisoli
GCF_016774335.1	Luteimonas saliphila
GCF_042648865.1	Luteimonas soli
GCF_008312895.1	Luteimonas suaedae
GCF_004358165.1	Luteimonas terrae
GCF_004352845.1	Luteimonas terricola
GCF_039543545.1	Luteimonas vadosa
GCF_008244685.1	Luteimonas viscosa
GCF_007859305.1	Luteimonas wenzhouensis
GCF_004803715.2	Luteimonas yindakuii
GCF_029439465.1	Luteipulveratus flavus
GCF_001247745.1	Luteipulveratus halotolerans
GCF_001190945.1	Luteipulveratus mongoliensis
GCF_016827595.1	Luteirhabdus pelagi
GCF_001618865.1	Luteitalea pratensis
GCF_005849285.1	Luteithermobacter gelatinilyticus
GCF_003752415.1	Luteococcus japonicus
GCF_039526385.1	Luteococcus peritonei
GCF_039527675.1	Luteococcus sanguinis
GCF_042683045.1	Luteolibacter algae
GCF_018137965.1	Luteolibacter ambystomatis
GCF_025950235.1	Luteolibacter arcticus
GCF_025950085.1	Luteolibacter flavescens
GCF_012913485.1	Luteolibacter luteus
GCF_014904755.1	Luteolibacter marinus
GCF_016595435.1	Luteolibacter pohnpeiensis
GCF_025950095.1	Luteolibacter rhizosphaerae
GCF_038066715.1	Luteolibacter soli
GCF_016595465.1	Luteolibacter yonseiensis
GCF_042676885.1	Lutibacter aestuarii
GCF_900188235.1	Lutibacter agarilyticus
GCF_003260195.1	Lutibacter citreus
GCF_900188355.1	Lutibacter flavus
GCF_042679665.1	Lutibacter holmesii
GCF_014646675.1	Lutibacter litoralis
GCF_900116115.1	Lutibacter maritimus
GCF_003426875.1	Lutibacter oceani
GCF_900106565.1	Lutibacter oricola
GCF_001543325.1	Lutibacter profundi
GCF_000496075.1	Lutibaculum baratangense AMV1
GCF_023703375.1	Lutimaribacter degradans
GCF_042648365.1	Lutimaribacter marinistellae
GCF_900142185.1	Lutimaribacter pacificus
GCF_900100005.1	Lutimaribacter saemankumensis
GCF_030409835.1	Lutimonas halocynthiae
GCF_020171465.1	Lutimonas saemankumensis
GCF_038433205.1	Lutimonas vermicola
GCF_030503675.1	Lutimonas zeaxanthinifaciens
GCF_024363565.1	Lutispora saccharofermentans
