GCF_043555865.1	Pelomonas dachongensis
GCF_043555885.1	Pelomonas lactea
GCF_043555875.1	Pelomonas margarita
GCF_043555975.1	Pelomonas nitida
GCF_043555835.1	Pelomonas parva
GCF_030012175.1	Peloplasma aerotolerans
GCF_018835585.1	Pelorhabdus rhamnosifermentans
GCF_020819555.1	Pelosinus baikalensis
GCF_000271485.2	Pelosinus fermentans DSM 17108
GCF_900114615.1	Pelosinus propionicus DSM 13327
GCF_018531195.1	Pelotalea chapellei
GCF_029478095.1	Pelotomaculum isophthalicicum JI
GCF_004369225.1	Pelotomaculum propionicicum
GCF_004369205.1	Pelotomaculum schinkii
GCF_022410535.1	Pelotomaculum terephthalicicum JT
GCF_014773365.1	Pelovirga terrestris
GCF_016464625.1	Penaeicola halotolerans
GCF_037157815.1	Pendulispora albinea
GCF_037157775.1	Pendulispora brunnea
GCF_037157805.1	Pendulispora rubella
GCF_004168625.1	Pengzhenrongella frigida
GCF_045689905.1	Pengzhenrongella phosphoraccumulans
GCF_017569225.1	Pengzhenrongella sicca
GCF_008151785.1	Peptacetobacter hiranonis
GCF_006861675.1	Peptacetobacter hominis
GCF_001652275.1	Peptidiphaga gingivicola
GCF_000238115.1	Peptoanaerobacter stomatis
GCF_000597865.1	Peptoclostridium acidaminophilum DSM 3953
GCF_000699585.2	Peptoclostridium litorale DSM 5388
GCF_900101835.1	Peptococcus niger
GCF_046097595.1	Peptococcus simiae
GCF_016791605.1	Peptoniphilus asaccharolyticus
GCF_901447155.2	Peptoniphilus catoniae
GCF_000146345.1	Peptoniphilus duerdenii ATCC BAA-1640
GCF_027921445.1	Peptoniphilus equinus
GCF_012976305.1	Peptoniphilus faecalis
GCF_023614525.1	Peptoniphilus genitalis
GCF_016908115.1	Peptoniphilus gorbachii
GCF_000311825.1	Peptoniphilus grossensis ph5
GCF_016726485.1	Peptoniphilus harei
GCF_040096015.1	Peptoniphilus hominis (ex Hitch et al. 2025)
GCF_900454665.1	Peptoniphilus indolicus
GCF_030812875.1	Peptoniphilus koenoeneniae
GCF_900454715.1	Peptoniphilus lacrimalis
GCF_900106515.1	Peptoniphilus lacydonensis
GCF_000468535.1	Peptoniphilus mikwangii
GCF_000311865.1	Peptoniphilus obesi ph1
GCF_040545475.1	Peptoniphilus olsenii
GCF_018919265.1	Peptoniphilus ovalis
GCF_001517665.2	Peptoniphilus phoceensis
GCF_001940285.1	Peptoniphilus porci
GCF_943169845.1	Peptoniphilus rachelemmaiella
GCF_900099555.1	Peptoniphilus raoultii
GCF_000246925.1	Peptoniphilus rhinitidis 1-13
GCF_000321025.1	Peptoniphilus senegalensis JC140
GCF_017874395.1	Peptoniphilus stercorisuis
GCF_000312025.1	Peptoniphilus timonensis JC401
GCF_900176605.1	Peptoniphilus vaginalis
GCF_000178095.1	Peptostreptococcus anaerobius 653-L
GCF_017874285.1	Peptostreptococcus canis
GCF_027125355.1	Peptostreptococcus equinus
GCF_900240845.1	Peptostreptococcus faecalis
GCF_009695815.1	Peptostreptococcus porci
GCF_003012055.1	Peptostreptococcus russellii
GCF_000147675.1	Peptostreptococcus stomatis DSM 17678
GCF_034259205.1	Peredibacter starrii
GCF_003073175.1	Peribacillus acanthi
GCF_010882125.1	Peribacillus alkalitolerans
GCF_025175645.1	Peribacillus aracenensis
GCF_003570725.1	Peribacillus asahii
GCF_001273755.1	Peribacillus butanolivorans
GCF_021012855.1	Peribacillus castrilensis
GCF_003989135.1	Peribacillus cavernae
GCF_016909175.1	Peribacillus deserti
GCF_014712675.1	Peribacillus faecalis
GCF_022394675.1	Peribacillus frigoritolerans
GCF_003429105.1	Peribacillus glennii
GCF_014138605.1	Peribacillus huizhouensis
GCF_000430765.1	Peribacillus kribbensis DSM 17871
GCF_001183985.1	Peribacillus loiseleuriae
GCF_045159795.1	Peribacillus muralis
GCF_016724865.1	Peribacillus psychrosaccharolyticus
GCF_003429095.1	Peribacillus saganii
GCF_046237635.1	Peribacillus sedimenti
GCF_002243645.1	Peribacillus simplex NBRC 15720 = DSM 1321
GCF_009466385.1	Peribacillus tepidiphilus
GCF_004138335.1	Peristeroidobacter agariperforans
GCF_004138485.1	Peristeroidobacter soli
GCF_023701865.1	Periweissella beninensis
GCF_004358325.1	Periweissella cryptocerci
GCF_012396505.1	Periweissella fabalis
GCF_918814575.1	Periweissella fabaria
GCF_918814755.1	Periweissella ghanensis
GCF_011174675.1	Perlabentimonas gracilis
GCF_001676655.1	Perlucidibaca aquatica
GCF_000420045.1	Perlucidibaca piscinae DSM 21586
GCF_009756665.1	Permianibacter aggregans
GCF_013179735.1	Permianibacter fluminis
GCF_016617615.1	Persephonella atlantica
GCF_900215515.1	Persephonella hydrogeniphila
GCF_000021565.1	Persephonella marina EX-H1
GCF_007993775.1	Persicimonas caeni
GCF_016595495.1	Persicirhabdus sediminis
GCF_014651615.1	Persicitalea jodogahamensis
GCF_036244895.1	Persicobacter diffluens
GCF_036492425.1	Persicobacter psychrovividus
GCF_025660475.1	Perspicuibacillus lycopersici
GCF_003258605.2	Peterkaempfera bronchialis
GCF_001418575.1	Peterkaempfera griseoplana
GCF_042466665.1	Peterkaempfera podocarpi
GCF_030814435.1	Peteryoungia aggregata LMG 23059
GCF_030369675.1	Peteryoungia algae
GCF_005860795.2	Peteryoungia desertarenae
GCF_004912165.1	Peteryoungia ipomoeae
