GCF_025583665.1	Microbacterium azadirachtae
GCF_037204185.1	Microbacterium bandirmense
GCF_031456315.1	Microbacterium barkeri
GCF_032878875.1	Microbacterium betulae
GCF_039532115.1	Microbacterium binotii
GCF_003387575.1	Microbacterium bovistercoris
GCF_047238045.1	Microbacterium canaveralium
GCF_030315975.1	Microbacterium candidum
GCF_008727755.1	Microbacterium caowuchunii
GCF_030865425.1	Microbacterium capsulatum
GCF_039905635.1	Microbacterium chionoecetis
GCF_014836945.1	Microbacterium commune
GCF_015277855.1	Microbacterium cremeum
GCF_023091245.1	Microbacterium croceum
GCF_050408675.1	Microbacterium daqui
GCF_030065535.1	Microbacterium dauci
GCF_039530205.1	Microbacterium deminutum
GCF_016907295.1	Microbacterium dextranolyticum
GCF_021582895.2	Microbacterium elymi
GCF_900096885.1	Microbacterium enclense
GCF_011047135.1	Microbacterium endophyticum
GCF_016907315.1	Microbacterium esteraromaticum
GCF_011326725.1	Microbacterium excoecariae
GCF_014640975.1	Microbacterium faecale
GCF_025421715.1	Microbacterium festucae
GCF_018588945.1	Microbacterium flavescens
GCF_018717645.1	Microbacterium flavum
GCF_025515205.1	Microbacterium fluvii
GCF_003367705.1	Microbacterium foliorum
GCF_031885415.1	Microbacterium forte
GCF_023101185.1	Microbacterium galbinum
GCF_032464915.1	Microbacterium galbum
GCF_014837165.1	Microbacterium gallinarum
GCF_031932225.1	Microbacterium gawkjiense
GCF_039543865.1	Microbacterium gilvum
GCF_000956535.1	Microbacterium ginsengisoli
GCF_015278215.1	Microbacterium ginsengiterrae
GCF_000826185.2	Microbacterium gorillae
GCF_000422745.1	Microbacterium gubbeenense DSM 15944
GCF_014137985.1	Microbacterium halimionae
GCF_002970975.1	Microbacterium halophytorum
GCF_003569805.1	Microbacterium halotolerans
GCF_008017415.1	Microbacterium hatanonis
GCF_014779795.1	Microbacterium helvum
GCF_015278255.1	Microbacterium hibisci
GCF_014725695.1	Microbacterium hominis
GCF_029094505.1	Microbacterium horticulturae
GCF_001552455.1	Microbacterium hydrocarbonoxydans NBRC 103074
GCF_004854025.1	Microbacterium hydrothermale
GCF_013409785.1	Microbacterium immunditiarum
GCF_027921865.1	Microbacterium imperiale
GCF_000422385.1	Microbacterium indicum DSM 19969
GCF_042677065.1	Microbacterium insulae
GCF_023155715.1	Microbacterium invictum
GCF_037204145.1	Microbacterium istanbulense
GCF_039544225.1	Microbacterium jejuense
GCF_047237905.1	Microbacterium jepli
GCF_030246925.1	Microbacterium jiangjiandongii
GCF_009745985.1	Microbacterium karelineae
GCF_027921965.1	Microbacterium keratanolyticum
GCF_042677105.1	Microbacterium koreense
GCF_039537285.1	Microbacterium kribbense
GCF_023155745.1	Microbacterium kunmingense
GCF_006783905.1	Microbacterium kyungheense
GCF_006716815.1	Microbacterium lacticum
GCF_039531105.1	Microbacterium lacus
GCF_054779895.1	Microbacterium lacusdiani
GCF_016907555.1	Microbacterium laevaniformans
GCF_003991875.1	Microbacterium lemovicicum
GCF_036324365.1	Microbacterium limosum
GCF_008727775.1	Microbacterium lushaniae
GCF_039533965.1	Microbacterium luteolum
GCF_015277875.1	Microbacterium luteum
GCF_050408645.1	Microbacterium luticellae
GCF_000422405.1	Microbacterium luticocti DSM 19459
GCF_000802305.1	Microbacterium mangrovi
GCF_039536565.1	Microbacterium marinilacus
GCF_014204835.1	Microbacterium marinum
GCF_008868125.1	Microbacterium maritypicum
GCF_037204165.1	Microbacterium marmarense
GCF_046064585.1	Microbacterium mcarthurae
GCF_025398275.1	Microbacterium memoriense
GCF_008017445.1	Microbacterium mitrae
GCF_014635185.1	Microbacterium murale
GCF_014646015.1	Microbacterium nanhaiense
GCF_039527915.1	Microbacterium natoriense
GCF_054782995.1	Microbacterium neimengense
GCF_024971095.1	Microbacterium neungamense
GCF_021044885.1	Microbacterium nymphoidis
GCF_001975955.2	Microbacterium oleivorans
GCF_009735645.1	Microbacterium oryzae
GCF_006540085.1	Microbacterium oxydans
GCF_039529675.1	Microbacterium paludicola
GCF_039541635.1	Microbacterium panaciterrae
GCF_900105335.1	Microbacterium paraoxydans
GCF_965211115.1	Microbacterium paulum
GCF_054782875.1	Microbacterium petrolearium
GCF_047302325.1	Microbacterium phoenicis
GCF_049177115.1	Microbacterium phosphatis
GCF_032464935.1	Microbacterium phycohabitans
GCF_017876435.1	Microbacterium phyllosphaerae
GCF_035231185.1	Microbacterium plantarum
GCF_047302165.1	Microbacterium pratiae
GCF_000763375.1	Microbacterium profundi
GCF_004135285.1	Microbacterium protaetiae
GCF_014192415.1	Microbacterium proteolyticum
GCF_013409745.1	Microbacterium pseudoresistens
GCF_031085295.1	Microbacterium psychrotolerans
GCF_014836535.1	Microbacterium pullorum
GCF_039530225.1	Microbacterium pumilum
GCF_900100885.1	Microbacterium pygmaeum
GCF_008710705.1	Microbacterium radiodurans
GCF_021172025.1	Microbacterium resistens
GCF_008710745.1	Microbacterium rhizomatis
GCF_039605615.1	Microbacterium rhizophilus
GCF_034120055.1	Microbacterium rhizosphaerae
GCF_007992455.1	Microbacterium saccharophilum
GCF_019720895.1	Microbacterium salitolerans
GCF_012524205.1	Microbacterium salsuginis
GCF_006716345.1	Microbacterium saperdae
GCF_036543185.1	Microbacterium schleiferi
GCF_039531125.1	Microbacterium sediminicola
GCF_004564075.1	Microbacterium sediminis
GCF_054779995.1	Microbacterium shaanxiense
GCF_039539005.1	Microbacterium soli
GCF_003327285.1	Microbacterium sorbitolivorans
GCF_017592545.1	Microbacterium stercoris
GCF_003254645.1	Microbacterium suaedae
GCF_023101165.1	Microbacterium sufflavum
GCF_003999995.1	Microbacterium sulfonylureivorans
GCF_042655325.1	Microbacterium suwonense
GCF_003651225.1	Microbacterium telephonicum
GCF_020682665.1	Microbacterium tenebrionis
GCF_017831975.1	Microbacterium terrae
GCF_039534975.1	Microbacterium terregens
GCF_025758395.1	Microbacterium terricola
GCF_030866805.1	Microbacterium terrisoli
GCF_006539145.1	Microbacterium testaceum
GCF_014208045.1	Microbacterium thalassium
GCF_028737325.1	Microbacterium thalli
GCF_900292075.1	Microbacterium timonense
GCF_000956465.1	Microbacterium trichothecenolyticum
GCF_054780175.1	Microbacterium tumbae
GCF_011759705.1	Microbacterium ulmi
GCF_015278315.1	Microbacterium ureisolvens
GCF_004564355.1	Microbacterium wangchenii
GCF_030246945.1	Microbacterium wangruii
GCF_034531355.1	Microbacterium xanthum
GCF_024055635.1	Microbacterium yannicii
GCF_051390635.1	Microbaculum mangrovi
GCF_025397915.1	Microbaculum marinisediminis
GCF_037855135.1	Microbaculum marinum
GCF_016863015.1	Microbispora amethystogenes
GCF_043197435.1	Microbispora bryophytorum
GCF_006334915.2	Microbispora catharanthi
GCF_008728085.1	Microbispora cellulosiformans
GCF_016863035.1	Microbispora corallina
GCF_006874475.1	Microbispora hainanensis
GCF_039649665.1	Microbispora maris
GCF_017896165.1	Microbispora oryzae
GCF_044460045.1	Microbispora rosea
GCF_016863095.1	Microbispora siamensis
GCF_014892245.1	Microbispora sitophila
GCF_005864065.1	Microbispora triticiradicis
GCF_039545115.1	Microbulbifer aestuariivivens
GCF_001999945.1	Microbulbifer agarilyticus
GCF_001750105.1	Microbulbifer aggregans
GCF_029869925.1	Microbulbifer bruguierae
GCF_020991125.1	Microbulbifer celer
GCF_040742695.1	Microbulbifer discodermiae
GCF_900129095.1	Microbulbifer donghaiensis
GCF_041447225.1	Microbulbifer echini
GCF_021165935.1	Microbulbifer elongatus
GCF_041447265.1	Microbulbifer epialgicus
GCF_001641755.2	Microbulbifer flavimaris
GCF_021729075.1	Microbulbifer guangxiensis
GCF_014904735.1	Microbulbifer hainanensis
GCF_026183675.1	Microbulbifer halophilus
GCF_049200395.1	Microbulbifer harenosus
GCF_009931115.1	Microbulbifer hydrolyticus
GCF_047289955.1	Microbulbifer jejuensis
GCF_023634065.1	Microbulbifer litoralis
GCF_035117725.1	Microbulbifer magnicolonia
GCF_002009015.1	Microbulbifer mangrovi
GCF_900107725.1	Microbulbifer marinus
GCF_023895975.1	Microbulbifer okhotskensis
