GCF_000971115.1	Demequina gelatinilytica
GCF_000975155.1	Demequina globuliformis
GCF_000971395.1	Demequina iriomotensis
GCF_030418375.1	Demequina lignilytica
GCF_030418455.1	Demequina litoralis
GCF_030161615.1	Demequina litorisediminis
GCF_013409005.1	Demequina lutea
GCF_900109245.1	Demequina mangrovi
GCF_000971155.1	Demequina maris
GCF_030418295.1	Demequina muriae
GCF_000975115.1	Demequina oxidasica
GCF_000971175.1	Demequina pelophila
GCF_000971135.1	Demequina phytophila
GCF_000971255.1	Demequina rhizosphaerae
GCF_000974805.1	Demequina salsinemoris
GCF_000975055.1	Demequina sediminicola
GCF_039545075.1	Demequina sediminis
GCF_000971215.1	Demequina silvatica
GCF_000971195.1	Demequina soli
GCF_000971235.1	Demequina subtropica
GCF_030418315.1	Demequina zhanjiangensis
GCF_000376825.1	Demetria terragena DSM 11295
GCF_003412455.1	Deminuibacter soli
GCF_016056275.1	Dendronalium phyllosphericum CENA369
GCF_900104455.1	Dendrosporobacter quercicolus
GCF_037203605.1	Denitratimonas tolerans
GCF_902813185.1	Denitratisoma oestradiolicum
GCF_000421765.1	Denitrificimonas caeni DSM 24390
GCF_034259425.1	Denitrificimonas halotolerans
GCF_001643775.1	Denitrobacterium detoxificans
GCF_007004665.1	Denitrobaculum tricleocarpae
GCF_007625155.1	Denitromonas halophila
GCF_018524365.1	Denitromonas iodatirespirans
GCF_007625205.1	Denitromonas ohlonensis
GCF_000025725.1	Denitrovibrio acetiphilus DSM 12809
GCF_041770905.1	Dentiradicibacter hellwigii
GCF_001570785.1	Dermabacter hominis NBRC 106157
GCF_902381725.1	Dermabacter jinjuensis
GCF_001678905.1	Dermabacter vaginalis
GCF_034541975.1	Dermacoccus abyssi
GCF_015070805.1	Dermacoccus barathri
GCF_900447535.1	Dermacoccus nishinomiyaensis
GCF_039530005.1	Dermacoccus profundi
GCF_020715685.1	Dermatobacter hominis
GCF_900187045.1	Dermatophilus congolensis
GCF_000482785.1	Derxia gummosa DSM 723
GCF_002105195.1	Derxia lacustris
GCF_900115825.1	Desemzia incerta
GCF_019039105.1	Desertibacillus haloalkaliphilus
GCF_003576705.1	Desertibaculum subflavum
GCF_001746915.2	Desertifilum tharense IPPAS B-1220
GCF_003344635.1	Desertihabitans aurantiacus
GCF_003327535.1	Desertihabitans brevis
GCF_003426815.1	Desertimonas flava
GCF_017355965.1	Desertivibrio insolitus
GCF_017355785.1	Desertivirga arenae
GCF_017355835.1	Desertivirga brevis
GCF_024436435.1	Desertivirga xinjiangensis
GCF_015207005.2	Desmonostoc muscorum LEGE 12446
GCF_003046315.1	Desmospora activa DSM 45169
GCF_031454155.1	Desmospora profundinema
GCF_001403615.1	Desnuesiella massiliensis
GCF_900176285.1	Desulfacinum hydrothermale DSM 13146
GCF_900129305.1	Desulfacinum infernum DSM 9756
GCF_008124625.1	Desulfallas thermosapovorans DSM 6562
GCF_900170035.1	Desulfamplus magnetovallimortis
GCF_000143965.1	Desulfarculus baarsii DSM 2075
GCF_000021905.1	Desulfatibacillum aliphaticivorans
GCF_900142135.1	Desulfatibacillum alkenivorans DSM 16219
GCF_054657895.1	Desulfatiferula olefinivorans
GCF_000422285.1	Desulfatiglans anilini DSM 4660
GCF_000429925.1	Desulfatirhabdium butyrativorans DSM 18734
GCF_022968795.1	Desulfatitalea alkaliphila
GCF_001293685.1	Desulfatitalea tepidiphila
GCF_000620305.1	Desulfitibacter alkalitolerans DSM 16504
GCF_050433185.1	Desulfitispora alkaliphila
GCF_900143285.1	Desulfitobacterium chlororespirans DSM 11544
GCF_000243155.2	Desulfitobacterium dehalogenans ATCC 51507
GCF_000243135.2	Desulfitobacterium dichloroeliminans LMG P-21439
GCF_000021925.1	Desulfitobacterium hafniense DCB-2
GCF_000231405.2	Desulfitobacterium metallireducens DSM 15288
GCF_049860565.1	Desulfitobacterium nosdiversum
GCF_000195295.1	Desulfobacca acetoxidans DSM 11109
GCF_000373985.1	Desulfobacter curvatus DSM 3379
GCF_004319545.1	Desulfobacter hydrogenophilus
GCF_013389365.1	Desulfobacter latus
GCF_000233695.2	Desulfobacter postgatei 2ac9
GCF_000745975.1	Desulfobacter vibrioformis DSM 8776
GCF_900105645.1	Desulfobacula phenolica
GCF_000307105.1	Desulfobacula toluolica Tol2
GCF_900167065.1	Desulfobaculum bizertense DSM 18034
GCF_054657395.1	Desulfobaculum senezii
GCF_011927665.1	Desulfobaculum xiamenense
GCF_007830435.1	Desulfobotulus alkaliphilus
GCF_006175995.1	Desulfobotulus mexicanus
GCF_026155325.1	Desulfobotulus pelophilus
GCF_016918545.1	Desulfobulbus alkaliphilus
GCF_000621145.1	Desulfobulbus elongatus DSM 2908
GCF_016446285.1	Desulfobulbus oligotrophicus
GCF_002952055.1	Desulfobulbus oralis
GCF_000186885.1	Desulfobulbus propionicus DSM 2032
GCF_016919065.1	Desulfobulbus rhabdoformis
GCF_000341395.1	Desulfocapsa sulfexigens DSM 10523
GCF_054657295.1	Desulfocastanea catecholica
GCF_054657595.1	Desulfocicer niacini
GCF_900176365.1	Desulfocicer vacuolatum DSM 3385
GCF_001854245.1	Desulfococcus multivorans
GCF_002933875.1	Desulfocucumis palustris
GCF_000212675.2	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay
