GCF_008807015.1	Neisseria zalophi
GCF_900187305.1	Neisseria zoodegmatis
GCF_039540515.1	Nemorincola caseinilytica
GCF_900604955.1	Neoactinobaculum massilliense
GCF_008180155.1	Neoaquamicrobium microcysteis
GCF_040970315.1	Neoaquamicrobium sediminum
GCF_002005465.1	Neoasaia chiangmaiensis
GCF_000307875.1	Neobacillus bataviensis LMG 21833
GCF_047237705.1	Neobacillus canaveralius
GCF_018343545.2	Neobacillus citreus
GCF_016908975.1	Neobacillus cucumis
GCF_000612665.1	Neobacillus dielmonensis
GCF_001636415.1	Neobacillus drentensis
GCF_030732025.2	Neobacillus driksii
GCF_013248975.1	Neobacillus endophyticus
GCF_001591485.1	Neobacillus fumarioli NBRC 102428
GCF_030813055.1	Neobacillus ginsengisoli
GCF_000612625.1	Neobacillus jeddahensis
GCF_014656545.1	Neobacillus kokaensis
GCF_001048695.1	Neobacillus massiliamazoniensis
GCF_001636315.1	Neobacillus mesonae
GCF_943193175.1	Neobacillus muris
GCF_048572935.1	Neobacillus niacini
GCF_003515685.1	Neobacillus notoginsengisoli
GCF_001636395.1	Neobacillus novalis
GCF_046237595.1	Neobacillus oceani
GCF_016765675.1	Neobacillus paridis
GCF_047302305.1	Neobacillus phoenicis
GCF_003362805.1	Neobacillus piezotolerans
GCF_018343535.1	Neobacillus rhizophilus
GCF_937468385.1	Neobacillus rhizosphaerae
GCF_010614825.1	Neobacillus sedimentimangrovi
GCF_002335815.1	Neobacillus soli
GCF_011393025.1	Neobacillus terrae
GCF_010975035.1	Neobacillus thermocopriae
GCF_001026695.1	Neobacillus vireti
GCF_024299005.1	Neoehrlichia mikurensis
GCF_001299475.1	Neofamilia massiliensis
GCF_014652215.1	Neogemmobacter tilapiae
GCF_018122595.1	Neokomagataea anthophila
GCF_006542335.1	Neokomagataea tanensis
GCF_001598495.1	Neokomagataea thailandica NBRC 106555
GCF_900110645.1	Neolewinella agarilytica
GCF_011927835.1	Neolewinella antarctica
GCF_014197245.1	Neolewinella aquimaris
GCF_008014675.1	Neolewinella aurantiaca
GCF_014349155.1	Neolewinella lacunae
GCF_004803465.1	Neolewinella litorea
GCF_002631205.1	Neolewinella marina
GCF_923081025.1	Neolewinella maritima
GCF_000373105.1	Neolewinella persica DSM 23188
GCF_002934605.1	Neolewinella xylanilytica
GCF_000374145.1	Neomegalonema perideroedes DSM 15528
GCF_900114255.1	Neomesorhizobium albiziae
GCF_014201135.1	Neomicrococcus aestuarii
GCF_014200305.1	Neomicrococcus lactis
GCF_045278715.1	Neomoorella carbonis
GCF_009735625.1	Neomoorella glycerini
GCF_037477945.1	Neomoorella humiferrea
GCF_002995805.1	Neomoorella stamsii
GCF_024733845.1	Neomoorella sulfitireducens
GCF_001267435.1	Neomoorella thermoacetica
GCF_002750855.1	Neopararhizobium haloflavum
GCF_029218125.1	Neopoerus faecalis
GCF_011388195.1	Neopusillimonas aestuarii
GCF_030344915.1	Neopusillimonas aromaticivorans
GCF_003576595.1	Neopusillimonas maritima
GCF_002968635.1	Neorhizobium alkalisoli
GCF_000731315.1	Neorhizobium galegae bv. orientalis str. HAMBI 540
GCF_002968575.1	Neorhizobium huautlense
GCF_004053875.1	Neorhizobium lilium
GCF_029854435.1	Neorhizobium petrolearium
GCF_040066075.1	Neorhizobium phenanthreniclasticum
GCF_019430945.1	Neorhizobium populisoli
GCF_964254135.1	Neorhizobium tomejilense
GCF_039631515.1	Neorhizobium tunisiense
GCF_023223505.1	Neorhizobium turbinariae
