GCF_039528095.1	Kitasatospora arboriphila
GCF_007828955.1	Kitasatospora atroaurantiaca
GCF_014649975.1	Kitasatospora aureofaciens
GCF_000744785.1	Kitasatospora azatica KCTC 9699
GCF_032654805.1	Kitasatospora brasiliensis
GCF_040571325.1	Kitasatospora camelliae
GCF_027627435.1	Kitasatospora cathayae
GCF_000696185.1	Kitasatospora cheerisanensis KCTC 2395
GCF_003814885.1	Kitasatospora cineracea
GCF_039533705.1	Kitasatospora cinereorecta
GCF_039533515.1	Kitasatospora cystarginea
GCF_948472415.1	Kitasatospora fiedleri
GCF_014203705.1	Kitasatospora gansuensis
GCF_044999035.1	Kitasatospora griseola
GCF_036243155.1	Kitasatospora herbaricolor
GCF_043950205.1	Kitasatospora hibisci
GCF_020907985.1	Kitasatospora humi
GCF_014655955.1	Kitasatospora indigofera
GCF_039529945.1	Kitasatospora kazusensis
GCF_014203855.1	Kitasatospora kifunensis
GCF_000744225.1	Kitasatospora mediocidica KCTC 9733
GCF_042656005.1	Kitasatospora misakiensis
GCF_039528135.1	Kitasatospora nipponensis
GCF_024172095.1	Kitasatospora paracochleata
GCF_042661005.1	Kitasatospora paranensis
GCF_000716545.1	Kitasatospora phosalacinea
GCF_036010405.1	Kitasatospora purpeofusca
GCF_039527695.1	Kitasatospora putterlickiae
GCF_039529925.1	Kitasatospora saccharophila
GCF_000269985.1	Kitasatospora setae KM-6054
GCF_039542905.1	Kitasatospora terrestris
GCF_007829815.1	Kitasatospora viridis
GCF_014656195.1	Kitasatospora xanthocidica
GCF_019048125.1	Klebsiella aerogenes
GCF_020526085.1	Klebsiella africana
GCF_006711645.1	Klebsiella electrica
GCF_042137965.1	Klebsiella grimontii
GCF_003261575.2	Klebsiella huaxiensis
GCF_005860775.1	Klebsiella indica
GCF_015139575.1	Klebsiella michiganensis
GCF_900636985.1	Klebsiella oxytoca
GCF_018139045.1	Klebsiella pasteurii
GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286
GCF_020099175.1	Klebsiella quasipneumoniae
GCF_020525665.1	Klebsiella quasivariicola
GCF_902158555.1	Klebsiella spallanzanii
GCF_020525545.1	Klebsiella variicola subsp. variicola
GCF_900100695.1	Klenkia brasiliensis
GCF_900101025.1	Klenkia marina
GCF_037083825.1	Klenkia sesuvii
GCF_900103975.1	Klenkia soli
GCF_900112525.1	Klenkia taihuensis
GCF_037083865.1	Klenkia terrae
GCF_006716695.1	Klugiella xanthotipulae
GCF_023195735.1	Kluyvera ascorbata
GCF_001571285.1	Kluyvera cryocrescens NBRC 102467
GCF_001682915.1	Kluyvera georgiana
GCF_009649915.1	Kluyvera intermedia
